"id","college_board_id","school_name","course_record_id","course_title","transcript_abbreviation","course_number","course_length","subject_area","discipline","uc_honors","cte_industry_sector","cte_pathway","school_code"
"1","052891","Canyon Hills High School","BTMG36","Journalism 1,2","JOURNALISM 1,2 (P)","1960","Full Year","g","English","None","","","357"
"2","052891","Canyon Hills High School","BTMG36","Journalism 1,2","JOURNALISM 1,2 (P)","1961","Full Year","g","English","None","","","357"
"3","052891","Canyon Hills High School","Q9WXPL","ELD with ALD 5,6","ELD/ALD 5,6","1355","Full Year","g","English as a Second Language (ESL) / English Language Development (ELD)","None","","","357"
"4","052891","Canyon Hills High School","Q9WXPL","ELD with ALD 5,6","ELD/ALD 5,6","1356","Full Year","g","English as a Second Language (ESL) / English Language Development (ELD)","None","","","357"
"5","052891","Canyon Hills High School","MWXGSR","African American History","EDG AFR-AMER HISTORY (P),EDG AFR-AMER HISTORYCR (P)","6560","Half Year","g","History / Social Science","None","","","357"
"6","052891","Canyon Hills High School","MWXGSR","African American History","EDG AFR-AMER HISTORY (P),EDG AFR-AMER HISTORYCR (P)","6560R","Half Year","g","History / Social Science","None","","","357"
"7","052891","Canyon Hills High School","BHMRE2","AP Psychology","PSYCH 1,2 AP (HP)","6834","Full Year","g","History / Social Science","AP","","","357"
"8","052891","Canyon Hills High School","BHMRE2","AP Psychology","PSYCH 1,2 AP (HP)","6835","Full Year","g","History / Social Science","AP","","","357"
"9","052891","Canyon Hills High School","GARDN3","Critical Thinking and Social Change 1,2","CRITICAL THNK/SOC CHG 1,2 (P)","1090","Full Year","g","History / Social Science","None","Education, Child Development, and Family Services","Education","357"
"10","052891","Canyon Hills High School","GARDN3","Critical Thinking and Social Change 1,2","CRITICAL THNK/SOC CHG 1,2 (P)","1091","Full Year","g","History / Social Science","None","Education, Child Development, and Family Services","Education","357"
"11","052891","Canyon Hills High School","ZMBNFQ","Economics ","EDG CA ECON (P),EDG CA ECON CR(P)","6550","Half Year","g","History / Social Science","None","","","357"
"12","052891","Canyon Hills High School","ZMBNFQ","Economics ","EDG CA ECON (P),EDG CA ECON CR(P)","6550R","Half Year","g","History / Social Science","None","","","357"
"13","052891","Canyon Hills High School","HA5TQX","Principles of Economics 1","PR ECON 1 (P),PR ECON 1 P","6758","Half Year","g","History / Social Science","None","","","357"
"14","052891","Canyon Hills High School","HA5TQX","Principles of Economics 1","PR ECON 1 (P),PR ECON 1 P","6758","Half Year","g","History / Social Science","None","","","357"
"15","052891","Canyon Hills High School","X84L2A","Psychology ","EDG PSYCH 1,2 (P)","6554","Full Year","g","History / Social Science","None","","","357"
"16","052891","Canyon Hills High School","X84L2A","Psychology ","EDG PSYCH 1,2 (P)","6555","Full Year","g","History / Social Science","None","","","357"
"17","052891","Canyon Hills High School","T5642J","Sociology ","EDG SOCIOLOGY (P)","6557","Half Year","g","History / Social Science","None","","","357"
